repository_name,date,views,unique_visitors/cloners
unicorn-finance,2024-01-19,25,4
unicorn-finance,2023-12-31,1,1
unicorn-finance,2024-01-10,16,2
unicorn-finance,2024-01-01,4,1
unicorn-finance,2024-01-20,2,2
unicorn-finance,2024-01-02,55,3
unicorn-finance,2023-12-27,9,2
unicorn-finance,2024-01-11,24,4
unicorn-finance,2024-01-12,9,3
unicorn-finance,2024-01-03,7,6
unicorn-finance,2024-01-22,4,3
unicorn-finance,2024-01-04,3,3
unicorn-finance,2023-12-29,4,3
unicorn-finance,2024-01-05,2,1
unicorn-finance,2024-01-23,3,3
unicorn-finance,2024-01-15,13,1
unicorn-finance,2024-01-24,5,4
unicorn-finance,2024-01-16,19,2
unicorn-finance,2024-01-07,2,1
unicorn-finance,2024-01-25,5,3
unicorn-finance,2024-01-26,28,3
unicorn-finance,2024-01-08,147,6
unicorn-finance,2024-01-27,1,1
unicorn-finance,2024-01-18,23,4
unicorn-finance,2024-01-09,21,2
