repository_name,date,clones,unique_cloners
unicorn-finance,2023-12-29,3,2
unicorn-finance,2024-03-01,2,2
unicorn-finance,2024-03-02,2,2
unicorn-finance,2024-03-03,1,1
unicorn-finance,2024-03-04,2,2
unicorn-finance,2024-03-05,1,1
unicorn-finance,2024-03-06,1,1
unicorn-finance,2024-03-07,2,2
unicorn-finance,2024-02-01,1,1
unicorn-finance,2024-02-02,3,3
unicorn-finance,2024-02-03,1,1
unicorn-finance,2024-02-04,3,3
unicorn-finance,2024-02-05,2,1
unicorn-finance,2024-02-06,2,2
unicorn-finance,2024-02-07,3,3
unicorn-finance,2024-02-20,1,1
unicorn-finance,2024-02-21,1,1
unicorn-finance,2024-02-08,2,2
unicorn-finance,2024-02-22,1,1
unicorn-finance,2024-02-09,3,3
unicorn-finance,2024-02-23,1,1
unicorn-finance,2024-02-24,1,1
unicorn-finance,2024-02-25,1,1
unicorn-finance,2024-02-26,4,4
unicorn-finance,2024-02-27,1,1
unicorn-finance,2024-02-28,1,1
unicorn-finance,2024-02-29,1,1
unicorn-finance,2024-01-05,1,1
unicorn-finance,2024-01-20,2,2
unicorn-finance,2024-01-08,41,16
unicorn-finance,2024-01-21,2,2
unicorn-finance,2024-01-09,8,2
unicorn-finance,2024-01-22,2,2
unicorn-finance,2024-01-23,2,2
unicorn-finance,2024-01-24,2,2
unicorn-finance,2024-01-25,2,2
unicorn-finance,2024-01-26,2,2
unicorn-finance,2024-01-27,2,2
unicorn-finance,2024-01-28,2,2
unicorn-finance,2024-01-29,4,4
unicorn-finance,2023-12-30,3,2
unicorn-finance,2023-12-31,1,1
unicorn-finance,2024-02-10,2,2
unicorn-finance,2024-02-11,2,2
unicorn-finance,2024-02-12,3,3
unicorn-finance,2024-02-13,2,2
unicorn-finance,2024-02-14,1,1
unicorn-finance,2024-02-15,1,1
unicorn-finance,2024-02-16,1,1
unicorn-finance,2024-02-17,2,2
unicorn-finance,2024-02-18,1,1
unicorn-finance,2024-02-19,3,3
unicorn-finance,2024-01-10,2,2
unicorn-finance,2024-01-11,1,1
unicorn-finance,2024-01-12,3,3
unicorn-finance,2024-01-13,2,2
unicorn-finance,2024-01-14,1,1
unicorn-finance,2024-01-15,1,1
unicorn-finance,2024-01-16,4,4
unicorn-finance,2024-01-17,3,3
unicorn-finance,2024-01-30,2,2
unicorn-finance,2024-01-31,9,7
unicorn-finance,2024-01-18,2,2
unicorn-finance,2024-01-19,1,1
