repository_name,date,views,unique_visitors/cloners
unicorn-finance,2023-12-27,9,2
unicorn-finance,2023-12-29,4,3
unicorn-finance,2023-12-31,1,1
unicorn-finance,2024-01-01,4,1
unicorn-finance,2024-01-02,55,3
unicorn-finance,2024-01-03,7,6
unicorn-finance,2024-01-04,3,3
unicorn-finance,2024-01-05,2,1
unicorn-finance,2024-01-07,2,1
unicorn-finance,2024-01-08,147,6
unicorn-finance,2024-01-09,21,2
unicorn-finance,2024-01-10,16,2
unicorn-finance,2024-01-11,24,4
unicorn-finance,2024-01-12,9,3
unicorn-finance,2024-01-15,13,1
unicorn-finance,2024-01-16,19,2
unicorn-finance,2024-01-18,23,4
unicorn-finance,2024-01-19,24,3
unicorn-finance,2024-01-20,2,2
unicorn-finance,2024-01-22,4,3
unicorn-finance,2024-01-23,2,2
unicorn-finance,2024-01-24,3,3
unicorn-finance,2024-01-25,5,3
unicorn-finance,2024-01-26,28,3
unicorn-finance,2024-01-27,6,1
unicorn-finance,2024-01-28,1,1
unicorn-finance,2024-01-29,2,1
unicorn-finance,2024-01-31,4,2
unicorn-finance,2024-02-01,2,2
unicorn-finance,2024-02-06,2,2
unicorn-finance,2024-02-07,1,1
unicorn-finance,2024-02-08,3,1
unicorn-finance,2024-02-09,10,3
unicorn-finance,2024-02-12,2,1
unicorn-finance,2024-02-14,4,2
unicorn-finance,2024-02-15,1,1
unicorn-finance,2024-02-16,1,1
unicorn-finance,2024-02-17,1,1
unicorn-finance,2024-02-19,3,3
unicorn-finance,2024-02-20,10,2
unicorn-finance,2024-02-21,1,1
unicorn-finance,2024-02-22,7,2
unicorn-finance,2024-02-23,4,1
unicorn-finance,2024-02-26,8,3
unicorn-finance,2024-02-29,1,1
unicorn-finance,2024-03-06,2,2
unicorn-finance,2024-03-07,5,2
unicorn-finance,2024-03-08,25,2
unicorn-finance,2024-03-12,32,1
unicorn-finance,2024-03-13,10,3
unicorn-finance,2024-03-14,23,2
unicorn-finance,2024-03-15,2,1
unicorn-finance,2024-03-18,2,1
unicorn-finance,2024-03-19,8,1
unicorn-finance,2024-03-20,3,1
unicorn-finance,2024-03-21,1,1
unicorn-finance,2024-03-22,1,1
unicorn-finance,2024-03-24,2,1
unicorn-finance,2024-03-25,1,1
unicorn-finance,2024-03-26,4,2
unicorn-finance,2024-03-27,3,1
unicorn-finance,2024-03-28,2,1
unicorn-finance,2024-03-29,4,2
unicorn-finance,2024-03-30,2,1
unicorn-finance,2024-04-01,1,1
unicorn-finance,2024-04-02,2,1
unicorn-finance,2024-04-03,15,1
unicorn-finance,2024-04-05,7,1
unicorn-finance,2024-04-07,2,1
unicorn-finance,2024-04-08,1,1
unicorn-finance,2024-04-09,6,2
unicorn-finance,2024-04-11,13,2
unicorn-finance,2024-04-15,1,1
unicorn-finance,2024-04-17,3,3
unicorn-finance,2024-04-18,1,1
unicorn-finance,2024-04-23,1,1
unicorn-finance,2024-04-26,1,1
unicorn-finance,2024-04-27,1,1
unicorn-finance,2024-04-29,12,1
unicorn-finance,2024-04-30,1,1
unicorn-finance,2024-05-01,1,1
unicorn-finance,2024-05-02,1,1
unicorn-finance,2024-05-03,1,1
unicorn-finance,2024-05-06,1,1
unicorn-finance,2024-05-07,1,1
unicorn-finance,2024-05-09,1,1
unicorn-finance,2024-05-10,19,3
unicorn-finance,2024-05-13,1,1
unicorn-finance,2024-05-15,1,1
unicorn-finance,2024-05-16,3,2
unicorn-finance,2024-05-18,1,1
unicorn-finance,2024-05-19,2,2
unicorn-finance,2024-05-20,1,1
unicorn-finance,2024-05-23,4,1
unicorn-finance,2024-05-25,1,1
unicorn-finance,2024-05-26,2,1
unicorn-finance,2024-05-28,1,1
unicorn-finance,2024-05-31,1,1
unicorn-finance,2024-06-01,1,1
unicorn-finance,2024-06-04,1,1
unicorn-finance,2024-06-06,2,1
unicorn-finance,2024-06-07,1,1
unicorn-finance,2024-06-08,1,1
unicorn-finance,2024-06-09,3,1
unicorn-finance,2024-06-10,1,1
unicorn-finance,2024-06-11,11,3
unicorn-finance,2024-06-13,4,2
